url,title_az,title_original,year,country,age_rating,duration_minutes,languages,quality,genres,rating_tvseans,rating_imdb,rating_kinopoisk,description,director,screenwriter,actors,poster_url,frame_urls,comments_count,scraped_at
https://tvseans.az/az/film/732/sozler,Sözlər,The Words,2012,ABŞ,12+,103,"az, ru, en","1080p, 720p, 360p",Triller,3,7.1,7.5,"Rori Censen adlı yazıçı uzun illərdən sonra istədiyi şöhrəti əldə edir. Ancaq onun yazdığı romanı başqasının da yazdığı ortaya çıxır. Rori Censen bu ""oğurluq"" müqabilində yüksək məbləğdə pul ödəmək məcburiyyətindədir.",Brayan Klaqman,Brayan Klaqman,"Bredli Kuper, Ceremi Ayrons",https://tvseans.az/uploads/thumbs/rs/q0XL6Qp9lVv1ILoOSL5wxg33-4THMLIX-262-391-resize.webp,https://tvseans.az/uploads/frame/jvrcKayvlo6ql-lAuKbA0bnpJpWbSDtq.jpg|https://tvseans.az/uploads/frame/eziwnAQ8WfQGlhs75Ueut-xDaA2RvVTb.jpg|https://tvseans.az/uploads/frame/dr9R1x-0ecoxkx9gAY84adKlnSVm4mEI.jpg|https://tvseans.az/uploads/frame/dyKN30uMGjeLRI9ElMBnnI2y0zpEmtcc.jpg|https://tvseans.az/uploads/frame/LC7uQUJv8XllVB9E0fUTprSS1O0UHKFa.jpg|https://tvseans.az/uploads/frame/-mFGJw19UHh876SFPrbzMpH_kYaHOh_1.jpg|https://tvseans.az/uploads/frame/NCvNkj8cy_kywk-z8yqf31kS6I63sw47.jpg,2,2025-11-23T18:37:08.686156
https://tvseans.az/az/film/2298/zarafatsiz,Zarafatsız,On the Other Side of the Tracks,2012,Fransa,16+,96,"az, ru, fr","720p, 360p","Kəskin, Kriminal, Komediya",9,5.8,6.4,"Fransanın sahibkarlar ittifaqının rəhbərinin həyat yoldaşı Parisin şəhərkənarında ölmüş vəziyyətdə aşkarlanır. Hadisə yerinə böyük nüfuzu və nümunəvi karyerası olan polis kapitanı Fransua Monje gəlir. Orada Fransua kifayət qədər şübhəli tərcümeyi-halı olan Osman adlı polis zabiti ilə tanış olur. Osman çəkdiyi xidmət boyunca qanunsuz metodlardan istifadə edib, karyera yüksəlişinə ümid etmir. Ancaq mövcud şərait və cinayət işi onları səylərini birləşdirməyə vadar edir...",David Şaron,"Nikolas Altmayer, David Şaron, Loren Lafitt","Omar Si, Loren Lafitt",https://tvseans.az/uploads/thumbs/rs/FZ_2Pf_DIfgTAMbH9V7E7vYMlS8FUgW2-262-391-resize.webp,https://tvseans.az/uploads/frame/b06VAEK8V9UmEtu05UcX8ewoZSXGnVcU.jpg|https://tvseans.az/uploads/frame/gKvok9FjV0DW-ntwaOhf58ui9Uw8WCcQ.jpg|https://tvseans.az/uploads/frame/yedHMUTRa6SrFInkYKBb9vIoGhsBRq99.jpg|https://tvseans.az/uploads/frame/s_Kj154j8iYbNiF7VtiZs0mDZaDUcDUJ.jpg|https://tvseans.az/uploads/frame/02D2UPIQx0aQeIvKFpIVorheObwJmtUU.jpg|https://tvseans.az/uploads/frame/Ku347P-09Z-BnSkS96qDcxy_4G9d1yA1.jpg,0,2025-11-23T18:37:08.249370
https://tvseans.az/az/film/1527/cekin-tikdiyi-ev,Cekin Tikdiyi Ev,The House That Jack Built,2018,"Fransa, Danimarka, Almaniya, İsveçrə",18+,152,"az, ru, en","1080p, 720p, 360p","Kriminal, Dram, Qorxu",7,6.8,7.2,"Cek – uşaqlığından bəri memar olmağı arzulasa da hazırda mühəndis işləyir. Uşaqlıq arzusunu gerçəkləşdirmək üçün ilk addım olaraq özünə ev tikir. Ancaq heç də hər şey onun istədiyi kimi alınmır. Memarlıq bacarıqları ürəkaçan səviyyədə olmasa da, ikinci ""hobbisi"" haqqında eyni sözləri demək olmaz. Cek silsilə qatildir. Şikarlarını furqonuna mindirərək, evinə gətirir və öldürür. Onun üçün qətl bir incəsənət formasına çevrilib. Amansızlıqla öldürdüyü insanların meyitlərindən müxtəlif kompozisiyalar hazırlayır və onları soyuducu kamerada saxlayır. Cek yaxşı anlayır ki, istənilən incənəsət növündə sənətkar daima öz üzərində işləməli və inkişaf etməlidir. Ona görə Cek daha da irəli getməyə qərar verir...",Lars Fon Trier,Lars Fon Trier,"Mett Dillon, Bruno Qans",https://tvseans.az/uploads/thumbs/rs/tNIrSpcWB_kZN7Xk0Ux6yTI_q6xSXjwo-262-391-resize.webp,https://tvseans.az/uploads/frame/OEDFHUMYKwl4QAmp5tepf2bOKuTQMwvS.jpg|https://tvseans.az/uploads/frame/NOn98EF89Knxg4mjqIIcVL2vbasAzxuY.jpg|https://tvseans.az/uploads/frame/3Pi7FIzG2ScOCNYOUNGTCcCmD0BWB2O4.jpg|https://tvseans.az/uploads/frame/zRzoEMLe2u5RDQcxkduj4qlxJgWsqvXn.jpg|https://tvseans.az/uploads/frame/uKQoEr_BmaCmOFCKYjTQ8hPEKbrQRu8o.jpg|https://tvseans.az/uploads/frame/tBW6mIKxnAXxWm5rbwejCvnZi4-l-YuL.jpg|https://tvseans.az/uploads/frame/JoBESwwJbkpBLLaMFX3LriotHketGVvM.jpg|https://tvseans.az/uploads/frame/L3K6eZS0251zzph4f0ES3XFnbZ5UqzAn.jpg|https://tvseans.az/uploads/frame/XBwFjKznG2LfOJIsnPIo6x1WCc9utDn-.jpg|https://tvseans.az/uploads/frame/6bNRMQtD18xWJBRgpwmJgM6f9w7OiNR5.jpg|https://tvseans.az/uploads/frame/2DmXYF2Uq06THuk3H_Fl6ruKxwcvcbZG.jpg|https://tvseans.az/uploads/frame/Snpzc-urXNLqUfmWi5k8czWFk9aPyGej.jpg|https://tvseans.az/uploads/frame/Gr_H_zFAcx4_CsqxDd9oquth0_BqkNtk.jpg|https://tvseans.az/uploads/frame/ps-hEbb_tqNwG-6FHNWuRXbhBchzkwmV.jpg,4,2025-11-23T18:37:08.029163
https://tvseans.az/az/film/920/tomb-rayder-lara-kroft,Tomb Rayder: Lara Kroft,Tomb Raider,2018,"ABŞ, Böyük Britaniya",16+,118,"az, ru, en","1080p, 720p, 360p","Macəra, Kəskin",6.5,6.5,6.1,"Lara Kroft macəra axtarışında olan itkin düşmüş bir adamın qızı idi. İndi onun 20 yaşı var, Londonda kuryerlik etməklə özünü dolandırır. O, atasının qlobal imperiyasının liderliyini qəbul etmir, eyni zamanda onun həqiqətən də itkin düşdüyü ehtimallarını tamamilə rədd edir. Bu həqiqəti qəbul etməsi və həyatına davam etməsi üçün hər zaman məsləhətlər alan Lara yeddi illik axtarışdan sonra artıq bu sirrin üstünü necə aça biləcəyini bilmir.",Roar Uthauq,Alister Siddons,"Alisiya Vikander, Dominik Uest",https://tvseans.az/uploads/thumbs/rs/W3fMKfTwabz8DjkqXcK86UjGg7IlPOpE-262-391-resize.webp,https://tvseans.az/uploads/frame/f0KUwbH-Uq1t2PvILOtUJ-YAZHX1nA4F.jpg|https://tvseans.az/uploads/frame/mX1ifc6xLbvHXE4u3U3arBqDwNg9qvPE.jpg|https://tvseans.az/uploads/frame/39LRhUVbCTcFYxe2Ca152QgEVCscRgiq.jpg|https://tvseans.az/uploads/frame/CuWWugJyVI16tb3OOoai9HtmhCnIvfY8.jpg|https://tvseans.az/uploads/frame/HM_BPdDVMqaTU9zEwqfuDbBldcoUYD3L.jpg|https://tvseans.az/uploads/frame/7t0yqCfwqYPNINeEhBbcdeF7tT72Vbxk.jpg|https://tvseans.az/uploads/frame/YVvGfDw1yDCijXT9acX2tMXcUORFJPki.jpg|https://tvseans.az/uploads/frame/zzMzMJskroWZDo_hrR6yM_jlZqUw98dJ.png,3,2025-11-23T18:37:09.559916
https://tvseans.az/az/film/289/mocuze-qadin,Möcüzə Qadın,Wonder Woman,2017,"ABŞ, Çin, Honq Konq",16+,141,"az, ru, en","1080p, 720p, 360p","Fantaziya, Kəskin, Macəra",7,8,6.7,"Amazonların vətəni olan Temiskira adasında doğulmuş və orada yaşayan Diana Amazon döyüşçüsü olmağı arzulasa da, onun anası - kraliça İppolita qızına döyüş sənəti ilə məşğul olmağı qadağan edərək, insanların qədim dövrdə amazonları əsir etmələri, müharibə tanrısı Aresin insan xislətini pozması, Diananın atası Zevs də daxil olmaqla, bütün tanrıları öldürməsi haqqında hekayələr danışır. Zevz ölməmişdən əvvəl, geri qayıdacağı təqdirdə oğlu Aresi öldürməyə qadir silah hazırlayır. Anasının sözlərinə görə, Diana gildən hazırlanıb və Zevs ona ruh verib. Lakin anasının qadağalarına fikir verməyən Diana xalası Antiopa ilə birlikdə gizlincə məşq edir. İppolita bundan xəbər tutur və Diananın tanrı gücünə malik olmasını öyrənənə qədər məşqlərə icazə verir.",Petti Cenkins,Zak Snayder,"Qal Qadot, Kris Payn",https://tvseans.az/uploads/thumbs/rs/e4dNFBnEB36acbY5_w1w-rmMH0zACkk5-262-391-resize.webp,https://tvseans.az/uploads/frame/qQ94bZyMMnAZyIQGGGreMGukLGIQeg5G.jpg|https://tvseans.az/uploads/frame/ManVlX1DJPMkt1XZ9xkTI0x-vMg1e8eT.jpg|https://tvseans.az/uploads/frame/l6Jb_QN2eHFOnsFN0FQJgY-QZqe0NCfR.jpg|https://tvseans.az/uploads/frame/lA0Ga-WR0uBmvC9LOTjhT55UiJthGnDH.jpg|https://tvseans.az/uploads/frame/0QvdIR6R-rplVcIHugqigWMNn4WGQngv.jpg|https://tvseans.az/uploads/frame/uhxEibnLfuKQFHPMD5TK25y9D_vskngV.jpg|https://tvseans.az/uploads/frame/FNDTnZj3RcwxvyvOCUCtw9S8GudqrojQ.jpg|https://tvseans.az/uploads/frame/aTLcTpo9VyuTy3DqbBqUFfHREg0pBykl.jpg|https://tvseans.az/uploads/frame/h4O3THT7t76KFI-4DbWn6lxkLPQgIEe7.jpg|https://tvseans.az/uploads/frame/MlApVTqRclFjKpw_Bx4Yrl7KsZNjxE2Z.jpg|https://tvseans.az/uploads/frame/SDHcSDldNWZa_BiCCQGFgBBX57Pr4lmh.jpg|https://tvseans.az/uploads/frame/55IKhjMN7d00OsR1oBiVBAoiehsB0jgf.jpg|https://tvseans.az/uploads/frame/dG9wSvMH9CIvx-C3H_v-lCEKE5dmF-nS.jpg|https://tvseans.az/uploads/frame/ttSBqsKK6ywzFeS84QolaYhJFnOHErSO.jpg|https://tvseans.az/uploads/frame/91TT9Y5ulavzQXOyjH1VbR_FXn2PtWZ1.jpg|https://tvseans.az/uploads/frame/ffOPbnbSFMzXonYKlWEc-iomQT1imbSe.jpg|https://tvseans.az/uploads/frame/B_tVULm8kPT53qv0RXT6rnYl8gQyQmsH.jpg|https://tvseans.az/uploads/frame/RTVD-sMsAZqKsYpXzwHJedtwWBd0DxbI.jpg|https://tvseans.az/uploads/frame/sUAORyvSIeZEykaAASq1YxX3CyaPp_tt.jpg|https://tvseans.az/uploads/frame/615rwpT0JMORqoga1lx0Q0PPcBBxW0-N.jpg|https://tvseans.az/uploads/frame/LHzJal1_tg8dgd3M4CTBSapcG1_Fk2iI.jpg|https://tvseans.az/uploads/frame/Cv0XkyeTVu5cdSki_syZoBk2HStwT_aX.jpg,0,2025-11-23T18:37:08.091819
https://tvseans.az/az/film/1865/qardas-2,Qardaş 2,Брат 2,2000,"ABŞ, Rusiya",16+,127,"az, ru","1080p, 720p, 360p","Kəskin, Dram, Kriminal, Triller",8.46,7.8,8,"“Qardaş” (1997) filmində baş verən hadisələrdən bir neçə il sonra Danila Baqrov yerli teleporqramların birində Çeçenistan müharibəsində iştirak etmiş əsgər yoldaşları ilə bir araya gəlir. Efirdən bir neçə gün sonra dostlardan biri sifarişli qətl qurbanına çevrilir. Danila dostunun Amerikada peşəkar hokkey liqasında çıxış edən əkiz qardaşının mafiya ilə problemlərinin olduğunu bilir. Dostunun qanının yerdə qalmasına razılaşmayan Danila, cırtqoz və aqressiv qardaşı ilə birlikdə Birləşmiş Ştatlara yola düşür. İndi qardaşlar özləri mafiyanın hədəfindədir...",Aleksey Balabanov,Aleksey Balabanov,"Sergey Bodrov (kiçik), Viktor Suxorukov",https://tvseans.az/uploads/thumbs/rs/MY7MflqWe6GWCoSwj7U3_KTUgksVN4JB-262-391-resize.webp,https://tvseans.az/uploads/frame/E6zcA7FpHkbhfsokowlqMeI-evdGVz32.jpg|https://tvseans.az/uploads/frame/R9E7sE1g6kKLsfbs4b_ezy4rmWjN_22_.jpg|https://tvseans.az/uploads/frame/3iGlEOfmZF6vHDDwHvL2dLDr3mU4u8x6.jpg|https://tvseans.az/uploads/frame/WWMTRmWDIaV70LR9zN6gzOYkQ0wdqfiN.jpg|https://tvseans.az/uploads/frame/Jng_cBYBSziCNo7ldzgpXj8EsBg5ti0K.jpg|https://tvseans.az/uploads/frame/tHgWjZgoBijPPI_zqEaIMcy-fqyKWyPm.jpg|https://tvseans.az/uploads/frame/vNpw5hkvLWLKnDcAgf3UqoKyECVFRpBX.jpg|https://tvseans.az/uploads/frame/9X1yY16pLfwAfY5mdoSkDPsyoW_kbXsC.jpg|https://tvseans.az/uploads/frame/ez1RjDjpIDuTAP4j4B8YolW3VrutUtIM.jpg|https://tvseans.az/uploads/frame/_cBz0dS8pIqhn-bROKQkOCUt447_4P_y.jpg|https://tvseans.az/uploads/frame/jT69SBTNuoMDh-1yMhtvDiF7uII8EsA2.jpg|https://tvseans.az/uploads/frame/75_CcFkc-TaXS12aULErNm0Sid5aIA3O.jpg,8,2025-11-23T18:37:08.742016
https://tvseans.az/az/film/1133/caniler-yuvasi,Canilər Yuvası,Nid de guêpes,2002,Fransa,16+,107,"az, ru, fr","1080p, 720p, 360p","Kəskin, Dram, Kriminal, Triller",10,6.8,6.9,"Leytenant Elen Labori Fransa xüsusitəyinatlı dəstəsində xidmət edir. Növbəti çətin tapşırıqların birində İtaliya və Almaniyalı döyüşçülərlə əməkdaşlıq etməli olur. Onlara iri alban mafiya başçısı Abdin Neksepi müşayiət etmək həvalə olunur. Elə həmin gün digər qəhrəman Nassir öz dostları ilə birlikdə böyük ticarət anbarlarından birini yarmağa hazırlaşırlar. Abdini müşayiət edən silahlı mütəşəkkil dəstə terrorçuların pusqusuna düşür. Elen digər döyüşçülərlə birlikdə böyük çətinliklə pusqudan çıxıb, Nassir və dostlarının qarət etdiyi anbara sığınırlar. Terrorçular mafiya başçısını azad etmək üçün anbarı mühasirəyə alır. İndi vəzifə borcundan əvvəl sağ qalmaq uğrunda mübarizə aparan xüsusitəyinatlı dəstə, oğrular və anbarın mühafizəçiləri ilə səylərini birləşdirməli olacaq...",Floran Emilio Siri,Floran Emilio Siri,"Sami Naseri, Benua Majimel",https://tvseans.az/uploads/thumbs/rs/dfbni2kwfindZeuW1oUwOdm6Wh9wXWCM-262-391-resize.webp,https://tvseans.az/uploads/frame/FM-0w_KeQnhR25DRBtBuuZsd5jlr3FAb.jpg|https://tvseans.az/uploads/frame/eLakbLK4jbb_rZYx_f_Ob9HyL1iD54HL.jpg|https://tvseans.az/uploads/frame/nViX70jrbaCnzIalA6O2G6Xo8EA24Ogz.jpg|https://tvseans.az/uploads/frame/-IkRr26AKsb8Y7P8Twi4WnDVG8QiZqHI.jpg|https://tvseans.az/uploads/frame/8msKI01byImCPq_M64TPNKQm14kXOXIA.jpg|https://tvseans.az/uploads/frame/fqZ9887U7f2riqV9l7Cv0j7yjcefUyZl.jpg,1,2025-11-23T18:37:08.977877
https://tvseans.az/az/film/97/qisas-qilinci,Qisas Qılıncı,Sword of Vengeance,2015,Böyük Britaniya,18+,87,"az, ru, en","720p, 360p",Kəskin,4.5,4.4,4.6,Hastinqs yaxınlığındakı döyüşdən sonra qüdrətli Vilhelm daha dağıdıcı hücum məqsədilə öz ordusunu İngiltərənin şimalına göndərir. Kralın ən qəddar sərkərdəsi qraf Düran yüz minlərlə saksı məhv edərək ərazini yerlə yeksan edir. İndi Düran oğulları Artus və Roman şimalı idarə edirlər. Sağ qalanlar qorxu içində yaşayırlar. Lakin sirli yadelli qəddar hökmdarlara qarşı üsyanın başçısı olacaq.,Cim Uidon,Metyu Rid,"Stenli Veber, Annabel Uollis",https://tvseans.az/uploads/thumbs/rs/XDV0gvOvqSVdzkw3-80x8mbet1Q8svHZ-262-391-resize.webp,https://tvseans.az/uploads/frame/TE2BDxV_3-ZYgGLG5RW-L1qRoAt0yhny.jpg|https://tvseans.az/uploads/frame/yGQSjn0Ask6SW1Z7T0OlTlXTGEzaJRiZ.jpg|https://tvseans.az/uploads/frame/SmJcQZd3arAsAgyUlgHt_O2RTxFAvxfX.jpg|https://tvseans.az/uploads/frame/-PpnWLTZP5OZ59HpcTmhWxsb1v3KI8Qc.jpg|https://tvseans.az/uploads/frame/VakVbMwD9eIwdH3YnY_ZZhgMoEhuMSv-.jpg,0,2025-11-23T18:37:08.147849
https://tvseans.az/az/film/1016/krid,Krid,Creed,2015,ABŞ,16+,133,"az, ru, en","1080p, 720p, 360p","İdman, Dram",8.75,7.6,7,"Film Rokki Balboanın vaxtı ilə peşəkar rinqdə ilk ciddi rəqibi olmuş Apollo Kridin oğlundan bəhs edir. Uzun illər əvvəl Rokki və Krid arasında iki döyüş keçirilmişdi və yekun nəticəyə görə Apollo çempion titulundan məhrum olmuşdu. Rinqdə rəqib olmalarına baxmayaraq onlar möhkəm dostlaşırlar, çətin günlərdə bir-birinə dayaq olurlar. Baş qəhrəman Adonis Conson – yəni Kiçik Kriddə boksçu istedadı üzə çıxır və o, atasının getdiyi yolu tutmağa qərar verir. Ancaq peşəkar boksda zirvələri fəth etməsi üçün onun layiqli məşqçiyə ehtiyacı var. Kiçik Krid bu məqsədlə mərhum atasının keçmiş dostu - əfsanəvi Rokkiyə baş çəkir. Amma onu yola gətirmək elə də asan olmayacaq, çünki Rokki artıq qocalıb və heç məşqçi qismində belə idman arenasına qayıtmaq fikrində deyil...",Rayan Kuqler,"Silvestr Stallone, Rayan Kuqler","Silvestr Stallone, Maykl B. Cordan",https://tvseans.az/uploads/thumbs/rs/XvwIe2KmsT47WPvbYLoGgd-ZHqqkJxQV-262-391-resize.webp,https://tvseans.az/uploads/frame/VWP9EAxrzgmB0GfCgqXDXES8QPFh4r5N.jpg|https://tvseans.az/uploads/frame/DSk0sd0KivAaBDmRZAsDfbVinjJ5BMkU.jpg|https://tvseans.az/uploads/frame/E8eiDE65haJI1p-AxXcmm4fVqOtgQ1gs.jpg|https://tvseans.az/uploads/frame/u2A16r3YcSk4Fy7pjzQVCXoPfeWjZiPn.jpg|https://tvseans.az/uploads/frame/N7sVcIOeF7U_9XWbgH0d1vtqm7FIbtUr.jpg|https://tvseans.az/uploads/frame/3RDbT-sk07WA18MLnYLQiBDPfSSsxaVq.jpg|https://tvseans.az/uploads/frame/D5XktB_9LgtB4JrI-cnrLJweXeeoghsq.jpg|https://tvseans.az/uploads/frame/IGUK_1e7znSnqMEKDY-jH0GomMSnWA48.jpg,1,2025-11-23T18:37:08.829119
https://tvseans.az/az/film/1351/gozegorunmez,Gözəgörünməz,Hollow Man,2000,"ABŞ, Almaniya",16+,112,"az, ru, en","720p, 360p","Elmi-Fantastika, Kəskin, Triller, Qorxu",10,5.7,6.9,"Nüfuzlu alim Sebastyan Keynin başçılığı altında tədqiqat qrupu istənilən canlını gözəgörünməz edə bilən preparat hazırlayır. İnyeksiyanın meymunlar üzərində kliniki sınaqları öz müsbət bəhrəsini versə də, Keyn bu xoş xəbərlə rəhbərliyi sevindirməyə tələsmir. İnsan üzərində sınağa icazə verilməyəcəyini bildiyindən, həmkarları ilə əlbir olub, inyeksiyanı öz bədəninə yeridir. Gözəgörünməz olduqdan sonra özünü qüdrətli hiss etməyə başlayır və getdikcə aqressivləşir. Digər yandan sevgilisinin ona həmkarı ilə xəyanət etməsindən xəbər tutması, onu lap özündən çıxarır. Gözəgörünməzliyindən istifadə edən Keyn, qısa müddətdə laboratoriyanı qanlı “sallaqxanaya” çevirir...",Pol Verhoven,"Endryu U.Marlou, Qari Skott Tompson","Elizabet Şu, Kevin Beykon",https://tvseans.az/uploads/thumbs/rs/-6l4sKFfTkPg9sXC69p6uBpQ5KMWGldu-262-391-resize.webp,https://tvseans.az/uploads/frame/D_kyuGYsQeAmsBP690ApQXERRf46NfxJ.jpg|https://tvseans.az/uploads/frame/RMZI0evYgKALwX4htWmHQYhIgkW4MFn9.jpg|https://tvseans.az/uploads/frame/eUAOCf81lGgODB7NLbSA-cmhC1vxZhKr.jpg|https://tvseans.az/uploads/frame/0BeMpvFCqqyuoTx1Xuu_DBLCaXPxKCrQ.jpg|https://tvseans.az/uploads/frame/1TzbXFdUNRqpV1AKrAHxWi5pvhO4AsYY.jpg|https://tvseans.az/uploads/frame/6oe5ahwOVlzxu0qaneOvCrAA5K3jHO40.jpg|https://tvseans.az/uploads/frame/7E-h9DGGi45EmH58ZQFKSIF4RYM1R43M.jpg|https://tvseans.az/uploads/frame/WucweJxyUBej-lWb5aJV1M0LfvaYoL2Z.jpg|https://tvseans.az/uploads/frame/deiWtF6ARTT6O37gnuScVJSyj-uvQu8E.jpg|https://tvseans.az/uploads/frame/W9OGEa1VAWW5bFCU0P0RoYoaGhe8_e9K.jpg,0,2025-11-23T18:37:08.353414
